Eselon 1,Tempat tinggal,hari bekerja non WFH per bulannya,hari ideal bekerja non WFH seminggu,Lokasi melaksanakan WFH,lama bekerja ketika WFH sehari,jumlah rapat online paralel (multi zoom) sehari,improve-gaya komunikasi atasan,improve-sarana prasarana pendukung kerja,improve-pengaturan jam kerja,improve-beban kerja,improve-pengelolaan kinerja pegawai,adv-manajemen keuangan lebih baik,adv-fokus meningkatkan kompetensi,adv-kesempatan belajar,adv-hubungan dg rekan kerja lebih baik,adv-komunikasi dg keluarga dekat lebih baik,adv-quality time dg keluarga inti,adv-terlibat dengan komunitas,adv-lebih mengenal lingkungan tempat tinggal,adv-waktu menekuni hobi,adv-kualitas ibadah / kehidupan spiritual,adv-pola hidup lebih sehat,harapan peningkatan implementasi FWS,gender,age,masa_kerja_tahun,masa_kerja_bulan,kode_wilayah_ktp
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,1 hari,Tempat lain,< 6 jam 25 menit,> 2	,Netral,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Netral,Netral,Setuju,Setuju,-,pria,32,10,12,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,4 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Untuk kedepannya agar  bisa difasilitasi untuk melakukan pekerjaan baik secara FWS atau WFH,wanita,57,38,2,
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,4 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,> 2	,Netral,Setuju,Setuju,Setuju,Setuju,Netral,Netral,Setuju,Netral,Netral,Netral,Setuju,Setuju,Netral,Setuju,Netral,agar di perbayak WFHB dan diatur,pria,53,27,9,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Netral,Netral,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Tidak Setuju,Tidak Setuju,Netral,Netral,Netral,-,pria,30,8,2,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Implementasi FWS sudah cukup efektif namun pegawai belum memiliki keleluasaan untuk FWS sesuai dengan tugas/fungsi yang dijalankan.,wanita,30,8,1,
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Tidak Setuju,Setuju,Setuju,Netral,ok,pria,29,7,1,
Sekretariat Jenderal,Kontrak,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Netral,Netral,Netral,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Netral,Netral,Netral,Bagus,pria,51,22,9,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,"diberlakukan peraturan mengenai maksimal keikutsertaan dalam rapat via daring, maksimal 2 rapat bersamaan",wanita,30,8,1,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,"agar work-life balance benar-benar dapat diwujudkan dengan cara bekerja yang lebih efektif, efisien dan manusiawi",wanita,32,10,12,337406
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,,pria,25,3,11,
Sekretariat Jenderal,Kontrak,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Untuk WFHB mungkin bisa dipertimbangkan salah satunya untuk menemui orang tua kandung ,wanita,46,22,9,317501
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Netral,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Semoga dapat dipercepat implementasinya dengan tetap memitigasi risiko2 yang mungkin muncul,pria,44,25,9,
Sekretariat Jenderal,Menumpang (orangtua/ saudara/lainnya),di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Setuju,"Perlu dukungan fasilitas termasuk set up untuk ruang kerja di rumah, seperti meja kerja, kursi kerja yg ergonomis, laptop, headset, printer, telepon, keperluan, keperluan meetin/event online, dsb. ",wanita,36,10,12,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,4 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Tidak Setuju,Setuju,Setuju,Netral,Sangat Setuju,Netral,Setuju,Tidak Setuju,"Sudah cukup baik, tetapi akan lebih baik apabila dukungan e-office semakin ditingkatkan lagi konektivitas antar aplikasi. Misal: dapat menghasilkan daftar hadir pada notula dengan langsung menyambungkannya dengan daftar hadir.",pria,33,10,11,330222
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,0 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Netral,Sangat Setuju,Sangat Setuju,Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Tidak Setuju,Tidak Setuju,Tidak Setuju,Sangat Tidak Setuju,Sangat Setuju,Setuju,,pria,29,3,11,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral,Sangat Tidak Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,publikasi hasil survey dan tanggapan dari pimpinan2 terkait hasil tersebut,pria,36,15,10,
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,> 2	,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral,Netral,Setuju,Sangat Setuju,Netral,Netral,Tidak Setuju,Netral,Tidak Setuju,Tidak Setuju,Netral,Netral,ketentuan WFHB utk pegawai yang jauh dari keluarga mungkin perlu ditinjau kembali,pria,30,8,1,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,harapan saya aplikasi-aplikasi penunjang pekerjaan lebih diperluas sehingga pekerjaan bisa lebih mudah dikerjakan secara FWS,pria,34,10,12,
Badan Pendidikan dan Pelatihan Keuangan,Menumpang (orangtua/ saudara/lainnya),di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Netral,Netral,Tidak Setuju,Sangat Tidak Setuju,Netral,Netral,Netral,"semoga ada kebijakna dalam 1 bulan 5 hari boleh bekerja dari homebase untuk pegawai yang jauh dari keluarga, karena konsepnya udah fws, seharusnya kerja di manapun bisa saja, agar kualitas dan bonding bersama keluarga lebih dapat. bekerja akan jauh lebig bersemangat",pria,32,6,10,320416
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,"Saya berharap FWS dapat diintegrasikan dengan beberapa hal yang ada. Seperti misalnya pegawai tidak perlu mengisi My Task, tetapi sudah otomatis terisi ketika bekerja.
Sehingga ketika pandemi usai, Kemenkeu benar-benar menjadi New Normal, bukan kembali persis seperti sebelum pandemi.",pria,28,5,0,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Netral,Setuju,Setuju,Netral,Netral,Setuju,Netral,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Netral,Netral,Semoga dengan sistem FWS dapat menyeimbangkan antara pencapaian organisasi dan juga kehidupan pribadi pegawai,wanita,29,6,9,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,semoga dapat diimplemtasikan secepatnya dan sebaik-baiknya,pria,30,8,2,
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,< 2 ,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,"implementasi FWS harus didukung dengan kesiapan atasan untuk melaksanakannya. Namun, kenyataan masih banyak atasan yang belum memahami konsep FWS dan hanya tahu bahwa bekerja itu ya di kantor, duduk di kursi kerja seharian. Harusnya mereka juga siap mendukung impelementasi program fws ini",wanita,27,2,9,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Netral,Setuju,Setuju,Sangat Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Setuju,Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Setuju,Tidak Setuju,sudah cukup,wanita,46,26,1,
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Setuju,Netral,Setuju,Tidak Setuju,Netral,Netral,Sangat Setuju,Setuju,Setuju,"Hasil survey mungkin akan berbeda dengan pegawai yang sudah berkeluarga.

Semoga lebih efektif dan merata ke seluruh unit terkait implementasi FWS ini.",wanita,23,2,11,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,-,pria,39,19,0,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Netral,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,"tetap memperhatikan kebutuhan pribadi pegawai dalam perannya di rumah dan di lingkungan dengan cara memperhatikan waktu istirahat dan jam kerja. Berada di rumah bukan berarti pengangguran. 
Memberikan pengaturan mengenai pertemuan virtual yang bersamaan. Kondisi saat ini, banyak ditemukan sesorang bisa dobel, triple, atau bahkan lebih dalam pelaksanaan rapat. Kondisi yang tidak efektif, karena seolah-olah hanya mementingkan kehadiran, bukan substansi dilakukannya pertemuan.",wanita,38,18,0,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,3 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,< 2 ,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,,pria,25,3,10,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,0 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,,wanita,34,12,0,
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,3 hari,Homebase,< 6 jam 25 menit,< 2 ,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Netral,Setuju,-,wanita,44,24,9,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,< 6 jam 25 menit,< 2 ,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju, ,pria,33,10,12,317308
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Tidak Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Netral,Netral,,wanita,33,6,9,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Netral,Setuju,Setuju,-,wanita,33,11,0,
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Sangat Setuju,Netral,Setuju,Netral,Setuju,Netral,Netral,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,Sangat Tidak Setuju,WFHB jangan hanya 10 hari dalam 3 bulan. Ini memberatkan bagi yang jauh dari keluarga. Karena di masa pandemi bukannya memperbaiki hub dengan keluarga malah memperburuk hubungan dengan keluarga,pria,40,12,10,
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Tidak Setuju,Setuju,Setuju,Sangat Setuju,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Sangat Tidak Setuju,Netral,Sangat Tidak Setuju,Tidak Setuju,Setuju,Setuju,"Harapannya adalah semua unit eselon I di Kemenkeu dapat mengimplementasikan FWS khususnya lokasi bekerja dari home base selama produktivitas dan koneksi jaringan serta perangkat dapat terjaga, sebab jika FWS masih dari kost, hampir tidak ada bedanya dengan non WFH. ",pria,37,10,12,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Netral,Setuju,Setuju,"semoga FWS bisa segera diterapkan di seluruh unit di Kementerian Keuangan, budaya saling percaya dapat ditumbuhkan. Karena selama ini masalah lokasi absensi saja masih sering dipermasalahkan.",wanita,29,7,0,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Netral,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,fws itu harus nya disamakan dengan wfo,wanita,43,18,12,
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,> 2	,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,Netral,"Pembatasan jam kerja harap diperjelas, mengingat selama FWS, jam kerja menjadi tidak teratur dan terkesan harus siap dan online selama 24 jam",wanita,32,11,0,
Sekretariat Jenderal,Kos,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Dapat diterapkan semaksimal mungkin,pria,26,3,11,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,-,pria,31,10,12,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,selama FWS banyak kegiatan dikantor bisa dikerjakan dari rumah,pria,51,23,9,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,,pria,38,15,10,367113
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Netral,Setuju,Setuju,Netral,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Netral,Netral,Setuju,Setuju,Setuju,-,pria,36,14,11,
Sekretariat Jenderal,Menumpang (orangtua/ saudara/lainnya),di bawah 10 hari kerja,0 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral,Setuju,Sangat Setuju,,pria,34,10,12,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Setuju,Setuju,Netral,FWS sangat efektif diterapkan di Kemenkeu RI,pria,41,20,0,
Badan Pendidikan dan Pelatihan Keuangan,Kontrak,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Agar penerapan FWS yang lebih baik,pria,31,11,0,357304
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Tidak Setuju,Netral,Netral,Netral,Setuju,Netral,Tidak Setuju,Tidak Setuju,Setuju,Netral,Setuju,,pria,36,15,9,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Netral,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Netral,Netral,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,Tidak Setuju,"jam kerja riil perlu diatur.
perlu ada aturan yang melarang double meeting di saat yang bersamaan karena tidak efektif dan melelahkan",pria,37,11,0,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Setuju,Netral,Setuju,Netral,.,pria,34,12,0,
Badan Pendidikan dan Pelatihan Keuangan,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,> 2	,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Sangat Setuju,Setuju,Setuju,Netral,Netral,Netral,Netral,"Dalam implementasi FWS sebaiknya memang ada pemerataan beban kerja kepada pegawai, selain itu, terkadang bekerja menjadi sepanjang waktu",wanita,34,10,12,111111
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,2 hari,Kos/tempat tinggal terpisah dari keluarga  ,< 6 jam 25 menit,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Netral,Setuju,Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Netral,Netral,semoga bisa meningkatkan kinerja kementerian keuangan,pria,47,26,1,
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,-,wanita,23,1,11,350409
Badan Pendidikan dan Pelatihan Keuangan,Kos,di bawah 10 hari kerja,1 hari,Kos/tempat tinggal terpisah dari keluarga  ,> 6 jam 25 menit ,< 2 ,Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Setuju,Netral,Netral,Netral,Netral,Netral,Tidak Setuju,Netral,Netral,,pria,33,12,12,
Sekretariat Jenderal,Kontrak,di bawah 10 hari kerja,1 hari,Homebase,< 6 jam 25 menit,> 2	,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Netral,"semoga pemantauan pegawai FWS dapat dilakukan secara merata dan peran UKI bisa ditingkatkan dalam pengawasan FWS, terima kasih",wanita,36,10,12,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Satelite Office  ,< 6 jam 25 menit,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Netral,Netral,Sangat Setuju,Sangat Setuju,Sangat Setuju,-,wanita,37,18,0,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Setuju,Setuju,Setuju,Setuju,Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Setuju,bisa dilaksanakan juga di unit organisasi saya,wanita,48,23,9,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,2 hari,Homebase,> 6 jam 25 menit ,< 2 ,Netral,Setuju,Netral,Setuju,Setuju,Tidak Setuju,Netral,Setuju,Tidak Setuju,Setuju,Setuju,Netral,Tidak Setuju,Netral,Setuju,Tidak Setuju,Mohon prasarana untuk bekerja di penuhi misalnya penyediaan laptop dan rapat zoom sebisa mungkin 1 saja dalam waktu bersamaan agar lebih fokus.,wanita,38,11,0,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,1 hari,Homebase,> 6 jam 25 menit ,> 2	,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Sangat Setuju,Sangat Setuju,Sangat Setuju,Setuju,Setuju,Sangat Setuju,Setuju,Setuju,Setuju,Setuju,-,pria,35,14,2,
Sekretariat Jenderal,Milik Sendiri,di bawah 10 hari kerja,3 hari,Homebase,> 6 jam 25 menit ,> 2	,Netral,Sangat Setuju,Netral,Netral,Netral,Setuju,Setuju,Setuju,Netral,Sangat Setuju,Sangat Setuju,Netral,Netral,Netral,Netral,Sangat Setuju,"segerakan fasilitas tunjangan laptop untuk pegawai berhubung tidak semua pegawai mendapatkan peminjaman laptop kantor, dan komputer kantor yang diijinkan untuk dibawa pulang sangat membebankan dari segi syarat dan kondisinya jika terjadi kerusakan",pria,46,26,1,
